userId,ISBN,bookRating,bookTitle
276747,60517794,4.5,Little Altars Everywhere
278843,60517794,3.5,Little Altars Everywhere
4017,60517794,5,Little Altars Everywhere
8961,60517794,4,Little Altars Everywhere
21788,60517794,4.5,Little Altars Everywhere
26883,60517794,3.5,Little Altars Everywhere
34987,60517794,4,Little Altars Everywhere
37227,60517794,5,Little Altars Everywhere
52584,60517794,4,Little Altars Everywhere
86548,60517794,5,Little Altars Everywhere
88123,60517794,4.5,Little Altars Everywhere
96357,60517794,2.5,Little Altars Everywhere
110382,60517794,4,Little Altars Everywhere
135149,60517794,3.5,Little Altars Everywhere
147528,60517794,4.5,Little Altars Everywhere
158583,60517794,3,Little Altars Everywhere
163467,60517794,3.5,Little Altars Everywhere
164323,60517794,3,Little Altars Everywhere
164956,60517794,2.5,Little Altars Everywhere
201697,60517794,4.5,Little Altars Everywhere
202277,60517794,4,Little Altars Everywhere
208287,60517794,4,Little Altars Everywhere
224220,60517794,3.5,Little Altars Everywhere
231838,60517794,4,Little Altars Everywhere
237776,60517794,5,Little Altars Everywhere
246634,60517794,4,Little Altars Everywhere
249228,60517794,5,Little Altars Everywhere
249746,60517794,3.5,Little Altars Everywhere
276747,679776818,4,Birdsong: A Novel of Love and War
6073,679776818,4.5,Birdsong: A Novel of Love and War
11676,679776818,4,Birdsong: A Novel of Love and War
13947,679776818,5,Birdsong: A Novel of Love and War
30511,679776818,3.5,Birdsong: A Novel of Love and War
62464,679776818,3,Birdsong: A Novel of Love and War
84537,679776818,2.5,Birdsong: A Novel of Love and War
92853,679776818,4.5,Birdsong: A Novel of Love and War
121596,679776818,4,Birdsong: A Novel of Love and War
139462,679776818,2.5,Birdsong: A Novel of Love and War
142479,679776818,5,Birdsong: A Novel of Love and War
159854,679776818,4,Birdsong: A Novel of Love and War
182676,679776818,4,Birdsong: A Novel of Love and War
186848,679776818,4,Birdsong: A Novel of Love and War
208570,679776818,4,Birdsong: A Novel of Love and War
221655,679776818,3.5,Birdsong: A Novel of Love and War
225986,679776818,4.5,Birdsong: A Novel of Love and War
226950,679776818,3,Birdsong: A Novel of Love and War
226965,679776818,2.5,Birdsong: A Novel of Love and War
234288,679776818,3.5,Birdsong: A Novel of Love and War
276755,451166892,2.5,The Pillars of the Earth
99,451166892,1.5,The Pillars of the Earth
5268,451166892,5,The Pillars of the Earth
9652,451166892,4.5,The Pillars of the Earth
11629,451166892,4,The Pillars of the Earth
16634,451166892,5,The Pillars of the Earth
16782,451166892,5,The Pillars of the Earth
21404,451166892,4,The Pillars of the Earth
22625,451166892,4.5,The Pillars of the Earth
28204,451166892,5,The Pillars of the Earth
33179,451166892,5,The Pillars of the Earth
34222,451166892,4.5,The Pillars of the Earth
38281,451166892,4,The Pillars of the Earth
48025,451166892,4.5,The Pillars of the Earth
55075,451166892,5,The Pillars of the Earth
59712,451166892,5,The Pillars of the Earth
66591,451166892,5,The Pillars of the Earth
67515,451166892,2.5,The Pillars of the Earth
68156,451166892,5,The Pillars of the Earth
74208,451166892,4.5,The Pillars of the Earth
78783,451166892,5,The Pillars of the Earth
79942,451166892,5,The Pillars of the Earth
81394,451166892,4,The Pillars of the Earth
82102,451166892,5,The Pillars of the Earth
86145,451166892,3.5,The Pillars of the Earth
87141,451166892,4,The Pillars of the Earth
93179,451166892,4.5,The Pillars of the Earth
94985,451166892,4,The Pillars of the Earth
95921,451166892,4,The Pillars of the Earth
96634,451166892,4,The Pillars of the Earth
103377,451166892,4,The Pillars of the Earth
106225,451166892,5,The Pillars of the Earth
114089,451166892,4,The Pillars of the Earth
114216,451166892,5,The Pillars of the Earth
114988,451166892,3.5,The Pillars of the Earth
120082,451166892,3,The Pillars of the Earth
120350,451166892,5,The Pillars of the Earth
125878,451166892,5,The Pillars of the Earth
126296,451166892,4.5,The Pillars of the Earth
132303,451166892,4.5,The Pillars of the Earth
133935,451166892,3,The Pillars of the Earth
135776,451166892,3.5,The Pillars of the Earth
138139,451166892,3.5,The Pillars of the Earth
140294,451166892,3.5,The Pillars of the Earth
141210,451166892,4,The Pillars of the Earth
142121,451166892,5,The Pillars of the Earth
149908,451166892,4,The Pillars of the Earth
155117,451166892,3.5,The Pillars of the Earth
156150,451166892,5,The Pillars of the Earth
163851,451166892,4.5,The Pillars of the Earth
164675,451166892,4,The Pillars of the Earth
170154,451166892,4.5,The Pillars of the Earth
172096,451166892,3.5,The Pillars of the Earth
172512,451166892,4.5,The Pillars of the Earth
